powiat;wynagrodzenia;wsp_scholar;bezrobocie_rejestrowane;ilosc_samochod_os;apteki;podmioty_regon;prowadzacy_dzialanosc;wykrywalnosc_przestepstw;przestepstwa;przychodnie;rodziny_zastepcze
Powiat gliwicki;3063,8;94,43;10,3;491,1664455;0,234192037;6,574211398;58;58,5;38,8;5;1,266272908
Powiat m.Gliwice;4137,93;96,15;7,2;535,4814457;0,327546675;6,841737823;82;58,5;38,8;7;0,961280275
Powiat m.Zabrze;3672,55;94,6;13,6;413,0519582;0,278629145;5,115574081;60;60,5;44,55;6;1,41542028
Powiat m.Chorzów;3384,99;95,02;11,6;373,8305987;0,368867577;9,067357513;73;67,7;75,76;6;2,068940702
Powiat m.Katowice;4966,8;97,91;5,2;539,7043937;0,354735722;4,667467362;90;54,8;65,55;9;1,204297715
Powiat m.Mysłowice;3461,96;93,21;9,8;466,3966536;0,292141396;12,17714627;68;65,8;36,83;7;1,527123033
Powiat m.Ruda Śląska;3309,17;94,78;9;417,6302811;0,273972603;4,826268388;52;69,4;55,5;4;1,629831537
Powiat m.Siemianowice Śląskie;3338,13;94,45;14,3;419,9226333;0,316355584;13,27312731;71;72,6;40,05;7;1,869454551
Powiat m.Świętochłowice;2926,12;89,91;18,2;372,3172688;0,229147571;14,12968762;56;57,9;37,34;4;1,355686245
Powiat raciborski;3344,49;94,17;8,9;436,0086965;0,245639892;7,022714661;55;77,1;32,74;5;1,046129775
Powiat rybnicki;3217,2;96,58;12,3;525,4122224;0,143616257;8,877632283;56;71,5;31,57;4;1,14887006
Powiat wodzisławski;2904,69;95,72;11,3;497,5063131;0,220945647;4,311868687;54;69,6;23,48;6;1,136363636
Powiat m.Jastrzębie-Zdrój;5974,57;94,81;9,1;465,5647984;0,250752257;7,0647493;49;72,5;31,41;6;1,362798862
Powiat m.Rybnik;3459,52;95,39;8,1;473,52421;0,220167327;6,747686254;72;71,5;31,57;4;1,207480698
Powiat m.Żory;3224,73;91,92;11,1;493,9244505;0,322268772;13,79488171;66;73,4;31,11;5;1,289241282
Powiat będziński *;3063,96;91,96;15,8;493,5047807;0,316555872;6,831519947;80;66,6;40,18;6;1,325420376
Powiat zawierciański;3247,65;95,03;18,2;419,9713877;0,294290759;7,243000204;72;63,6;26,03;5;0,915593705
Powiat m.Dąbrowa Górnicza;4255,34;97,04;12,6;492,2414415;0,312793244;7,810683154;73;70,8;51,95;5;1,146743009
Powiat m.Jaworzno;4226,59;94,01;11,6;454,111659;0,328731098;9,013307884;63;69,3;26,71;4;1,113408621
Powiat m.Sosnowiec;3372,99;94,47;15,3;467,5874537;0,341880342;5,217480903;87;63,3;44,04;6;1,625193782
Powiat mikołowski;3198,68;95,16;8,1;501,8746652;0,241545894;9,735656448;71;67,8;27,5;4;1,291786131
Powiat pszczyński;3056,79;97,7;7,2;520,1045492;0,193274063;9,15725632;78;65,7;21,43;7;0,929530541
Powiat bieruńsko-lędziński *;3375,35;95,63;6;490,086592;0,32647731;12,49055048;56;72,2;26,33;5;0,824685589
Powiat m.Tychy;3558,72;95,67;6,9;463,5045542;0,309789343;8,163454985;79;68,8;40,57;7;1,301195861
Powiat bialski;2862,82;92,16;16;508,7356605;0,272702482;4,847279893;42;82;28,13;4;0,826940671
Powiat parczewski;2994,8;92,38;15,1;510,7477799;0,414937759;17,67781559;47;78,5;20,29;5;0,88527402
Powiat radzyński;2966,6;96,82;15,2;493,8475366;0,35945363;9,935452243;48;91,2;22,38;3;0,686330583
Powiat włodawski;3032,38;95,26;24,6;536,6000906;0,377358491;16,90395935;50;74,4;25,21;4;1,106806862
Powiat m.Biała Podlaska;3370,69;106,81;16,7;476,8063459;0,413907285;16,50284532;70;82;28,13;7;0,931195034
Powiat biłgorajski;3009,52;94,45;8,9;440,7110236;0,366837858;6,76843457;55;83,4;14,48;3;0,444148346
Powiat chełmski *;2940,49;88,78;19,6;465,0189256;0,213083316;5,414483744;33;78,4;26,64;3;0,902413957
Powiat hrubieszowski;3109,48;91;20,3;398,4659041;0,354735722;8,911944666;46;87;21,76;5;1,034554107
Powiat krasnostawski *;3060,62;93,84;16,7;428,1870366;0,313873195;7,922745755;41;80;16,57;5;0,568045922
Powiat tomaszowski;2955,16;96,93;18,5;471,1462582;0,357142857;6,238422369;60;64,8;22,09;5;1,196182185
Powiat zamojski;2778,35;89,28;16,2;404,1105897;0,264760392;5,030952685;45;81,9;21,86;3;0,438268111
Powiat m.Chełm;3099,95;99,88;18;431,7950741;0,485672657;13,12654597;65;78,4;26,64;7;0,880161464
Powiat m.Zamość;3267,28;100,7;16,5;400,2621472;0,609756098;18,18264952;89;81,9;21,86;9;0,533439005
Powiat lubartowski;2888,47;94,29;17,2;438,9960106;0,4100041;6,804078014;48;83,1;18,33;4;0,79787234
Powiat lubelski;2946,9;82,73;12,4;521,2583259;0,262674022;4,741283514;57;56,9;29,15;3;0,983277547
Powiat łęczyński;4942,31;93,41;10,3;521,9100734;0,363768643;9,50879867;41;72,8;21,51;5;0,969932105
Powiat świdnicki;3491,18;92,54;16;482,7576766;0,328515112;10,0072556;58;68,9;19,27;6;1,095185292
Powiat m.Lublin;3710,8;103,14;9,9;425,0455882;0,488997555;3,500365281;88;56,9;29,15;8;1,009554818
Powiat janowski;2972,1;92,27;14,8;380,4;0,315756236;14,46315789;53;88,8;13,95;6;0,505263158
Powiat kraśnicki;2871,55;92,02;15,5;458,6279593;0,37327361;6,072404854;46;81,2;16,89;5;0,827138203
Powiat łukowski;2764,56;96,7;13,3;446,177719;0,246426811;6,489890922;59;85,8;15,79;3;0,447263931
Powiat opolski;2991,25;94,06;16,2;483,5486151;0,2891845;9,671614935;46;68,6;18,16;4;0,980014138
Powiat puławski;3662,83;94,85;11,7;455,7523643;0,403388463;7,165782744;64;74,6;23,92;6;1,081303743
Powiat rycki;2912,71;97,48;14,2;528,5131335;0,445831476;11,16178589;49;77,4;16,05;6;0,943008024
Powiat bieszczadzki *;3109,58;91,96;24,3;614,7213365;0,179629962;43,60713163;79;76,9;19,39;3;1,212556698
Powiat brzozowski;2910,02;94,7;24,4;406,0349232;0,165289256;8,355122772;45;86;18,48;6;0,525951973
Powiat jasielski *;2999,9;95,21;18,9;518,2213538;0,276701716;5,766853131;52;77,3;12,86;3;0,587925057
Powiat krośnieński;2800,23;90,94;19,5;424,9584294;0,196695515;5,748359527;52;66,4;16,44;5;0,759892006
Powiat sanocki;2918,66;89,94;13,2;399,6781729;0,311429461;7,381261355;54;77,7;17,32;5;0,768232546
Powiat leski *;3119,93;87,63;23;556,7690473;0,260892252;37,94543015;82;76,2;23,79;3;0,820038765
Powiat m.Krosno;2783,69;104,84;8,4;440,082863;0,655307995;24,64751517;85;66,4;16,44;6;0,972371953
Powiat jarosławski;3141,89;92,88;19,4;437,1722189;0,285877644;5,448723185;50;77,7;16,41;4;0,678027023
Powiat lubaczowski;2889,91;92,67;18;405,1812929;0,261848651;9,391966203;41;93,4;18,52;6;0,55862996
Powiat przemyski;2977,42;87,03;20,7;430,4214549;0,108026358;6,900463182;40;72,6;22,27;3;0,837238194
Powiat przeworski;2859,57;94,95;19,7;398,4918794;0,264830508;6,935337436;42;80,2;12,27;5;0,693533744
Powiat m.Przemyśl;3234,16;101,84;18,2;460,3584542;0,544662309;14,56220051;61;72,6;22,27;9;1,540232746
Powiat kolbuszowski;2745,76;87,59;17;455,8607942;0,207168013;8,652559118;43;80;12,44;5;0,430237746
Powiat łańcucki;2818,62;94,31;19;420,48707;0,276166805;8,699472759;56;83,8;20,52;3;0,803414512
Powiat ropczycko-sędziszowski;3036,58;93,82;21,8;416,1372993;0,245398773;8,492597944;50;75,2;14,99;3;0,504375801
Powiat rzeszowski;2937,37;92,04;14,5;428,8107304;0,145666424;3,938943344;53;56,8;20,55;5;0,443055261
Powiat strzyżowski;2707,08;95,23;23,2;454,3059972;0,257003341;9,106678231;46;71,6;10,06;6;0,481834827
Powiat m.Rzeszów;3702,54;100,82;8,1;434,1694684;0,466853408;6,762695849;86;56,8;20,55;9;0,582327993
Powiat dębicki;3019,26;93,84;13,6;441,0192326;0,229200092;4,732362706;49;74,7;15,34;3;0,569362388
Powiat leżajski;3104,99;91,28;19,4;366,3737769;0,228206298;8,244658089;45;79,4;20,18;5;0,698941603
Powiat mielecki;3187,11;92,9;13,5;431,0251218;0,286123033;5,348652932;55;68,9;16,03;5;0,542935963
Powiat niżański;2798,39;84,49;25,3;373,5071538;0,22172949;8,587560601;47;81,8;20,01;4;0,295613102
Powiat stalowowolski;3260,12;89,82;15;384,0767659;0,38491147;7,331983026;60;70,1;22,02;4;0,687373409
Powiat tarnobrzeski;3176,95;88,18;15,6;441,6478514;0,203583062;11,52977755;49;72,4;22,21;5;0,573712847
Powiat m.Tarnobrzeg;3058,41;96,09;15,7;414,3292557;0,350140056;21,10877713;76;72,4;22,21;5;0,823757156
Powiat białostocki;3009,46;78,04;18,4;429,3154556;0,193911189;5,374407846;63;63,6;16,38;4;0,75491038
Powiat sokólski;3225,89;90,04;17,1;445,8862895;0,224921278;7,437296142;41;72,9;18,04;5;0,74513553
Powiat m.Białystok;3493,98;101,93;13,3;354,735675;0,389863548;3,726421652;84;61,1;25,1;10;0,776479125
Powiat bielski;3264,41;92,53;11;515,0871949;0,282565697;6,380266389;83;63,9;30,14;4;0,709616242
Powiat hajnowski;3221,78;94;13,6;446,9815588;0,260960334;13,98312457;48;81,2;22,99;5;1,000347947
Powiat kolneński;3123,59;92,33;19,6;427,8200761;0,225428314;14,80164296;48;79,2;13,46;3;0,475856542
Powiat łomżyński;3354,22;86,79;13,1;487,3392244;0,115008626;10,61933332;45;66,1;20,53;3;0,613391094
Powiat siemiatycki;2948,59;81,75;10,3;473,2252207;0,211148649;11,50808733;41;85,8;18,46;4;0,823514507
Powiat wysokomazowiecki;3165,68;91,32;8,9;502,0624134;0,270489586;11,24184332;54;78,2;16,25;7;0,676201102
Powiat zambrowski;3019,12;90,53;17,3;419,8633034;0,267165375;16,31898836;60;73,6;20,05;5;0,311685999
Powiat m.Łomża;2972,85;100,68;17;393,4120869;0,445831476;15,68171687;79;66,1;20,53;7;0,557218366
Powiat augustowski;3444,77;92,83;19,4;413,6088053;0,317359568;11,72481753;55;77;20,78;4;1,202545388
Powiat grajewski;3639,09;89,24;22,8;400,4672423;0,304692261;12,29050279;47;79,4;19,24;5;0,365667852
Powiat moniecki;3167,47;85,28;13,5;397,4991153;0,235904695;12,69316975;42;86,7;14,46;4;0,660611065
Powiat sejneński;3329,2;90,2;20,4;526,2128512;0,238492726;26,85684301;42;72,4;22,6;4;1,478795974
Powiat suwalski;2943,05;86,8;10,8;540,0011104;0,083277815;13,8796358;39;69,6;26,24;3;1,276926493
Powiat m.Suwałki;3029,62;97,48;13,3;401,979713;0,388953715;14,42279984;77;69,6;26,24;4;1,498472711
Powiat kielecki;2914,39;92,04;19,7;451,2156844;0,202798621;3,399570225;59;70,9;18,79;4;0,613274742
Powiat konecki;3031,59;94,98;22,6;440,0610054;0,381242852;9,007828232;61;81,1;17,24;3;1,370238421
Powiat ostrowiecki;3084,28;91,21;22,2;369,9567536;0,355998576;7,919829098;75;78,6;26,49;4;0,981294614
Powiat skarżyski;3119,33;91,74;27,4;415,3695508;0,317965024;12,23358258;77;78,6;28,2;3;1,258965359
Powiat starachowicki;2963,95;94,67;18,8;470,2841;0,351741119;7,942007356;58;70,7;23,67;4;1,108682906
Powiat m.Kielce;3467,85;98,96;10,7;417,6462391;0,467726848;7,066856443;103;70,3;41,19;7;0,965471937
Powiat buski;2902,83;95,3;9,1;478,8595234;0,35161744;10,00892688;60;75,4;15,75;4;0,297562691
Powiat jędrzejowski;3611,17;95,75;13,9;465,2885541;0,249190132;7,498442544;52;85,8;20,97;4;0,713598006
Powiat kazimierski;2876,72;94,82;12,6;518,5542169;0,311817898;14,2593905;36;82,6;14,12;2;0,396881644
Powiat opatowski;3014,36;92,48;22,6;517,0836208;0,326797386;10,6931484;45;70,9;23,9;4;0,871428053
Powiat pińczowski;3100,89;95,08;9,8;475,543611;0,293169159;14,70803811;44;81,6;15,62;5;0,903982409
Powiat sandomierski;3397,35;93,15;12,8;497,5299754;0,347584289;9,681503364;59;87,3;23,17;4;0,781967579
Powiat staszowski;3490,75;95,48;12,9;551,9104227;0,284333239;9,369330337;55;90,4;28,88;4;0,446803325
Powiat włoszczowski;3259,56;97,19;14,3;461,349957;0,25793139;15,43422184;57;87,1;23,11;4;0,62338779
Powiat gorzowski;3408,69;85,47;12,3;533,1095558;0,171408982;14,6407656;82;72,5;44,11;4;1,428367376
Powiat międzyrzecki;3116,31;92,04;22,7;530,3913405;0,339904827;17,17956125;73;77,7;34,43;5;1,359411375
Powiat słubicki;3133,88;93,5;13,3;488,4531682;0,338066261;24,53041476;80;78,6;51,01;5;1,901582539
Powiat strzelecko-drezdenecki;3132,48;92,32;26;576,2276962;0,276319425;17,42854887;68;74,9;32;6;0,967156166
Powiat sulęciński;2716,04;92,94;15,8;533,8230365;0,251382604;22,45559155;62;71,9;35,57;4;1,452351693
Powiat m.Gorzów Wielkopolski;3197,03;100,08;9,1;455,6893964;0,312989045;11,56417273;103;72,5;44,11;7;1,677246427
Powiat krośnieński;2800,23;90,94;19,5;424,9584294;0,196695515;5,748359527;52;66,4;16,44;5;0,759892006
Powiat nowosolski *;3089,18;93,16;25,4;444,9445354;0,295508274;8,922076741;54;78,7;33,66;6;1,443444263
Powiat świebodziński;2931,56;94,41;12,5;500,1764727;0,229410415;17,18843751;67;72,9;34,73;6;1,447075848
Powiat zielonogórski;3373,25;86,12;15,9;527,3950149;0,190367409;9,708019162;70;72,7;40,75;4;1,216146191
Powiat żagański;2889,16;90,64;25;507,8297054;0,267665953;10,84113059;63;76,2;30,36;3;1,849440909
Powiat żarski;3445,53;93,95;17,4;554,8136677;0,37202381;9,422198982;64;79,4;36,76;5;1,337409247
Powiat wschowski *;2983,88;94,72;18,4;499,2899528;0,304321363;21,50428564;61;75,6;33,89;4;1,420094335
Powiat m.Zielona Góra;3351,95;104,26;8,3;473,5135226;0,445235975;12,1489124;99;72,7;40,75;7;1,176243247
Powiat jarociński;2596,34;97,63;14;569,9928814;0,265181649;11,51543068;64;80;16,58;4;0,614156303
Powiat kaliski;2723,72;90,61;8,8;586,5720524;0,133422282;8,66084425;57;80,2;30,31;3;0,412421155
Powiat kępiński;2349,11;98,03;5,8;595,7488265;0,247954376;17,58923036;80;84,2;23,69;3;1,080506598
Powiat krotoszyński;2729,22;96,81;10,1;548,2165939;0,332778702;10,1360431;62;90,1;18,37;4;1,06223684
Powiat ostrowski;3174,79;97,09;18,2;491,8264487;0,239980802;10,88029014;67;69,5;27,6;4;0,613349689
Powiat ostrzeszowski;3010,05;97,4;10,6;574,8957148;0,270855905;16,48698918;75;86,2;23,57;5;0,758437619
Powiat pleszewski;2881,88;93,97;13,1;635,8771999;0,299940012;13,66900797;68;82,5;19,74;5;1,168021466
Powiat m.Kalisz;3150,01;102,48;8,4;521,1509802;0,420344683;10,75700256;84;80,2;30,31;7;1,25148076
Powiat gnieźnieński;3006,57;96,51;14,9;506,5463846;0,345661943;7,196184156;83;80,2;23,66;4;0,953961012
Powiat kolski;3350,56;95,05;15,7;544,7320999;0,291036088;8,450578109;61;87,9;26;5;0,794690127
Powiat koniński;3219,51;92,35;18,7;580,004211;0,233918129;5,365066245;58;78,1;24,93;3;0,655037158
Powiat słupecki;2886,83;94,46;17,5;566,7235666;0,368188513;13,62251899;67;92,7;17,34;5;0,736352378
Powiat turecki;2977,38;96,59;12,1;560,321399;0,283607487;8,034975777;55;85,3;21,31;4;0,815313719
Powiat wrzesiński;2932,62;97,25;14,8;488,9801577;0,222370469;13,77316783;83;80;17,5;4;0,915595202
Powiat m.Konin;3483,18;107,26;13,6;487,0707927;0,501002004;13,74490989;82;78,1;24,93;9;1,130422495
Powiat gostyński;3124,88;100,17;12,3;577,0431179;0,275406224;11,89414603;73;95,7;16,77;5;0,577003777
Powiat grodziski;3854,84;104,05;7,8;524,9260161;0,308546745;14,91104789;104;58,5;23,64;4;0,959791588
Powiat kościański;2955,65;97,46;9,7;588,2449932;0,329815303;12,29024771;77;94,5;28,31;5;0,900523826
Powiat leszczyński;3450,36;91,76;9;592,2573406;0,261848651;18,34673649;80;80,1;23,27;4;0,804189265
Powiat międzychodzki;2839,46;95,87;11,7;533,1878082;0,377216145;25,25130029;69;88,6;25,66;3;1,212709192
Powiat nowotomyski;3167,43;98,92;7,4;583,4729051;0,270124257;14,11475498;80;86,5;19,11;4;0,688854071
Powiat rawicki;2716,43;96,25;10,9;570,2960793;0,297885016;13,57099118;63;88,8;19,7;4;0,87714943
Powiat wolsztyński;2708,32;99,21;6,7;500,449791;0,24691358;19,59677562;91;85,6;23,63;4;0,687915616
Powiat m.Leszno;2977,96;102,56;8,7;452,1337412;0,478927203;21,19835605;103;80,1;23,27;8;1,436914805
Powiat chodzieski;3020,99;97,14;16,6;588,4850259;0,292825769;18,29931404;69;88,4;26,02;4;1,003848084
Powiat czarnkowsko-trzcianecki;3149,29;96;15,1;551,6905035;0,226860254;8,801279361;59;89,9;18,14;7;1,633227098
Powiat pilski;3263,28;95,04;13,7;480,0514429;0,27457441;6,495383148;71;79;30,8;4;1,271621172
Powiat wągrowiecki;3084,27;94,95;22,2;569,8602651;0,229305205;12,09602293;70;84;29,29;3;1,175206019
Powiat złotowski;2922,82;89,85;18,2;457,7214253;0,213447172;9,605532787;50;86,6;26,84;4;1,195355191
Powiat obornicki;3197,81;95,13;12,3;572,7502245;0,220264317;17,58815257;83;82,5;28,52;4;1,355541624
Powiat poznański;3405,01;87,61;4,6;539,083167;0,35971223;4,275537198;118;58,9;24,03;5;0,765767856
Powiat szamotulski;3569,58;96,87;11,4;579,6898617;0,268744961;10,49095897;73;90,2;29,71;5;0,83972457
Powiat średzki;3238,52;96,13;14,2;538,2415759;0,317762949;16,04504616;70;87,3;18,84;4;0,458934214
Powiat śremski;2998,45;98,1;10,2;507,2954878;0,279642058;16,61430146;79;94,7;21,87;5;0,740241154
Powiat m.Poznań;4119,68;107,6;4,2;554,3121825;0,479386385;3,379077681;126;56;49,25;8;0,798922181
Powiat białogardzki;3090,04;91,07;28,9;438,6589135;0,203334689;20,25048796;73;72,7;38,12;4;1,524886142
Powiat drawski;2827,94;89,11;24,9;460,169607;0,255427842;17,33533138;79;81,5;29,49;4;2,111572781
Powiat kołobrzeski;3130,38;93,07;11,9;455,8662866;0,38925652;20,19263371;125;74,9;33,2;3;1,343664059
Powiat koszaliński;3118,05;80,53;28,1;472,9004908;0,197511357;15,98468388;85;74,9;31,73;3;1,413094677
Powiat sławieński;2905,46;91,17;27,2;450,1708133;0,241545894;17,42641223;78;71,9;22,11;5;1,552848615
Powiat szczecinecki;3244,82;89,97;27,6;372,0575634;0,302388872;12,6896517;75;86,8;25,21;6;1,33575281
Powiat świdwiński;2892,61;89,14;26,7;461,2678937;0,265816055;18,44580777;64;77,7;28,93;4;1,574642127
Powiat wałecki;3093,47;92,25;20,6;451,5434969;0,291715286;18,89028682;81;78,3;30,32;5;0,948161114
Powiat m.Koszalin;3323,31;102,68;12,4;403,7844215;0,365764448;15,36449521;127;74,9;31,73;5;1,3078112
Powiat choszczeński;3151,12;90,79;28,5;482,2169059;0,23923445;16,20813397;59;84,4;39,13;3;1,136363636
Powiat gryficki *;2831,03;92,31;25,4;470,7110262;0,258933195;19,82264798;97;76,4;33,93;7;1,747629373
Powiat myśliborski;3143,15;91,31;18,9;520,3325129;0,250563768;14,7390452;74;71;32,89;5;1,267557888
Powiat pyrzycki;2768,91;90,65;28,5;508,0426976;0,196772924;21,6193615;67;78,3;28,28;4;1,352747307
Powiat stargardzki *;3171,47;91,3;20;451,8239181;0,281135789;8,410449798;78;64,2;32,67;5;1,265288908
Powiat łobeski *;3082,29;89,44;29,8;480,306718;0,314070352;22,53277852;64;76,3;32,55;7;1,910444636
Powiat m.Szczecin;3881,46;97,36;11;433,9040334;0,344827586;3,954386385;115;62,1;43,71;7;1,406167082
Powiat goleniowski *;3265,66;92,7;15,9;508,4504125;0,231535078;12,79442407;82;74,5;39,04;5;1,973996856
Powiat gryfiński;3222,07;91,39;22,2;515,7485464;0,26157468;11,806951;79;69;27,08;5;1,343590597
